,Player,Pos.,Cap Figure,Base Salary,Likely Incent.,Unlikely Incent.,Trade Bonus,Cap Figure.1,Cap % Team,Cap % League,Notes,Year,Team,Cap %,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Qualifying Offer,Trade Kicker,Rights,Signed Using,Signing Bonus,Likely Incentives,Dead Cap,Age
11,Willy Hernangomez,C,"$1,544,951","$1,544,951",-,-,-,"$1,544,951",1.24,1.52,Acquired via Trade,2018,Charlotte Hornets,,,,,,,,,,,,,,
12,Shelvin Mack,PG,"$1,512,601","$2,029,463",-,-,-,"$1,512,601",1.21,1.48,Acquired via Trade,2018,Charlotte Hornets,,,,,,,,,,,,,,
13,Dwayne Bacon,SF,"$1,378,242","$1,378,242",-,-,-,"$1,378,242",1.11,1.35,Drafted  / NT-MLE,2018,Charlotte Hornets,,,,,,,,,,,,,,
14,Devonte' Graham,PG,"$988,464","$988,464",-,-,-,"$988,464",0.79,0.97,Drafted  / NT-MLE,2018,Charlotte Hornets,,,,,,,,,,,,,,
0,Joe Chealey,PG,,,,,,,,,,2018,Charlotte Hornets,,,,,,,,,,,,,,
1,J.P. Macura,SG,,,,,,,,,,2018,Charlotte Hornets,,,,,,,,,,,,,,
0,Brian Roberts,PG,"$1,512,601",,,,,,,,,2018,Charlotte Hornets,,,,,,,-,,Non-Bird,,,,,
1,Marcus Paige,PG,"$1,349,383",,,,,,,,,2018,Charlotte Hornets,,,,,,,-,,Non-Bird,,,,,
0,Nicolas Batum,SG,"$25,565,217","$25,565,217",-,-,-,"$25,565,217",20.08,23.42,/ Bird,2019,Charlotte Hornets,,,,,,,,,,,,,,
1,Terry Rozier,PG,"$19,894,737","$19,894,737",-,-,-,"$19,894,737",15.63,18.23,Free Agent / Sign & Trade,2019,Charlotte Hornets,,,,,,,,,,,,,,
2,Bismack Biyombo,C,"$17,000,000","$17,000,000",-,"$1,000,000",-,"$17,000,000",13.35,15.58,Acquired via Trade,2019,Charlotte Hornets,,,,,,,,,,,,,,
3,Cody Zeller,C,"$14,471,910","$14,471,910",-,-,-,"$14,471,910",11.37,13.26,Rk Extension  / Bird,2019,Charlotte Hornets,,,,,,,,,,,,,,
4,Malik Monk,SG,"$4,028,400","$4,028,400",-,-,-,"$4,028,400",3.16,3.69,Drafted  / Rookie Scale,2019,Charlotte Hornets,,,,,,,,,,,,,,
5,PJ Washington,PF,"$3,831,840","$3,831,840",-,-,-,"$3,831,840",3.01,3.51,Drafted  / Rookie Scale,2019,Charlotte Hornets,,,,,,,,,,,,,,
6,Miles Bridges,SF,"$3,755,400","$3,755,400",-,-,-,"$3,755,400",2.95,3.44,Drafted  / Rookie Scale,2019,Charlotte Hornets,,,,,,,,,,,,,,
7,Willy Hernangomez,C,"$1,676,735","$1,676,735",-,-,-,"$1,676,735",1.32,1.54,Acquired via Trade,2019,Charlotte Hornets,,,,,,,,,,,,,,
8,Dwayne Bacon,SF,"$1,618,520","$1,618,520",-,-,-,"$1,618,520",1.27,1.48,Drafted  / NT-MLE,2019,Charlotte Hornets,,,,,,,,,,,,,,
9,Devonte' Graham,PG,"$1,416,852","$1,416,852",-,-,-,"$1,416,852",1.11,1.3,Drafted  / NT-MLE,2019,Charlotte Hornets,,,,,,,,,,,,,,
10,Cody Martin,SF,"$1,173,310","$1,173,310",-,-,-,"$1,173,310",0.92,1.08,Drafted  / NT-MLE,2019,Charlotte Hornets,,,,,,,,,,,,,,
11,Caleb Martin,SF,"$898,310","$898,310",-,-,-,"$898,310",0.71,0.82,/ NT-MLE,2019,Charlotte Hornets,,,,,,,,,,,,,,
12,Jalen McDaniels,PF,"$898,310","$898,310",-,-,-,"$898,310",0.71,0.82,/ NT-MLE,2019,Charlotte Hornets,,,,,,,,,,,,,,
13,Joe Chealey,PG,"$81,678","$81,678",-,-,-,"$81,678",0.06,0.07,10-Day  / Minimum,2019,Charlotte Hornets,,,,,,,,,,,,,,
0,Kobi Simmons,PG,,,,,,,,,,2019,Charlotte Hornets,,,,,,,,,,,,,,
1,Ray Spalding,PF,,,,,,,,,,2019,Charlotte Hornets,,,,,,,,,,,,,,
0,Marvin Williams,PF,"$14,049,901","$14,049,901",-,-,-,,,,Waived,2019,Charlotte Hornets,11.04,,,,,,,,,,,,,
1,Michael Kidd-Gilchrist,SF,"$12,189,237","$12,189,237",-,-,-,,,,Waived,2019,Charlotte Hornets,9.57,,,,,,,,,,,,,
2,Joe Chealey,PG,"$81,678","$81,678",-,-,-,,,,10-day,2019,Charlotte Hornets,0.06,,,,,,,,,,,,,
0,Shelvin Mack,PG,"$1,618,486",,,,,,,,,2019,Charlotte Hornets,,,,,,,-,,Non-Bird,,,,,
1,Brian Roberts,PG,"$1,618,486",,,,,,,,,2019,Charlotte Hornets,,,,,,,-,,Non-Bird,,,,,
2,Marcus Paige,PG,"$1,443,842",,,,,,,,,2019,Charlotte Hornets,,,,,,,-,,Non-Bird,,,,,
0,Gordon Hayward,SF,"$28,500,000","$28,500,000",-,-,-,"$28,500,000",26.6,26.11,Acquired via S&T  SEI-Foot,2020,Charlotte Hornets,,,,,,,,,,,,,,
1,Terry Rozier,PG,"$18,900,000","$18,900,000",-,-,-,"$18,900,000",17.64,17.32,Free Agent / Sign & Trade,2020,Charlotte Hornets,,,,,,,,,,,,,,
2,Cody Zeller,C,"$15,415,730","$15,415,730",-,-,-,"$15,415,730",14.39,14.12,Rk Extension  / Bird,2020,Charlotte Hornets,,,,,,,,,,,,,,
3,LaMelo Ball,PG,"$7,839,960","$7,839,960",-,-,-,"$7,839,960",7.32,7.18,Drafted  / Rookie Scale,2020,Charlotte Hornets,,,,,,,,,,,,,,
4,Malik Monk,SG,"$5,345,687","$5,345,687",-,-,-,"$5,345,687",4.99,4.9,Drafted  / Rookie Scale,2020,Charlotte Hornets,,,,,,,,,,,,,,
5,PJ Washington,PF,"$4,023,600","$4,023,600",-,-,-,"$4,023,600",3.76,3.69,Drafted  / Rookie Scale,2020,Charlotte Hornets,,,,,,,,,,,,,,
6,Miles Bridges,SF,"$3,934,320","$3,934,320",-,-,-,"$3,934,320",3.67,3.6,Drafted  / Rookie Scale,2020,Charlotte Hornets,,,,,,,,,,,,,,
7,Bismack Biyombo,C,"$3,500,000","$3,500,000",-,-,-,"$3,500,000",3.27,3.21,Free Agent / Space,2020,Charlotte Hornets,,,,,,,,,,,,,,
8,Brad Wanamaker,PG,"$2,250,000","$2,250,000",-,-,-,"$2,250,000",2.1,2.06,Acquired via Trade,2020,Charlotte Hornets,,,,,,,,,,,,,,
9,Devonte' Graham,PG,"$1,663,861","$1,663,861",-,-,-,"$1,663,861",1.55,1.52,Drafted  / NT-MLE,2020,Charlotte Hornets,,,,,,,,,,,,,,
10,Cody Martin,SF,"$1,517,981","$1,517,981",-,-,-,"$1,517,981",1.42,1.39,Drafted  / NT-MLE,2020,Charlotte Hornets,,,,,,,,,,,,,,
11,Caleb Martin,SF,"$1,517,981","$1,517,981",-,-,-,"$1,517,981",1.42,1.39,/ NT-MLE,2020,Charlotte Hornets,,,,,,,,,,,,,,
12,Jalen McDaniels,PF,"$1,517,981","$1,517,981",-,-,-,"$1,517,981",1.42,1.39,/ NT-MLE,2020,Charlotte Hornets,,,,,,,,,,,,,,
13,Vernon Carey Jr.,C,"$1,350,000","$1,350,000",-,-,-,"$1,350,000",1.26,1.24,Drafted  / Space,2020,Charlotte Hornets,,,,,,,,,,,,,,
14,Nick Richards,C,"$1,000,000","$1,000,000",-,-,-,"$1,000,000",0.93,0.92,Drafted  / Space,2020,Charlotte Hornets,,,,,,,,,,,,,,
0,Nate Darling,SG,,,,,,,,,,2020,Charlotte Hornets,,,,,,,,,,,,,,
1,Grant Riller,PG,,,,,,,,,,2020,Charlotte Hornets,,,,,,,,,,,,,,
0,Nicolas Batum,SG,"$8,856,969","$8,856,969",-,-,-,,,,Waived,2020,Charlotte Hornets,8.27,,,,,,,,,,,,,
0,Gordon Hayward,SF,"$29,925,000","$29,925,000",-,-,-,"$29,925,000",24.73,26.62,Acquired via S&T,2021,Charlotte Hornets,,,,,,,,,,,,,,
1,Terry Rozier,PG,"$17,905,263","$17,905,263",-,-,-,"$17,905,263",14.8,15.93,Free Agent / Sign & Trade,2021,Charlotte Hornets,,,,,,,,,,,,,,
2,Kelly Oubre Jr.,SF,"$12,000,000","$12,000,000",-,-,-,"$12,000,000",9.92,10.67,Free Agent / Space,2021,Charlotte Hornets,,,,,,,,,,,,,,
3,Montrezl Harrell,PF,"$9,720,900","$9,720,900",-,-,-,"$9,720,900",8.03,8.65,Acquired via Trade,2021,Charlotte Hornets,,,,,,,,,,,,,,
4,Mason Plumlee,C,"$9,248,333","$8,137,500",-,-,-,"$9,248,333",7.64,8.23,Acquired via Trade,2021,Charlotte Hornets,,,,,,,,,,,,,,
5,LaMelo Ball,PG,"$8,231,760","$8,231,760",-,-,-,"$8,231,760",6.8,7.32,Drafted  / Rookie Scale,2021,Charlotte Hornets,,,,,,,,,,,,,,
6,Miles Bridges,SF,"$5,421,493","$5,421,493",-,-,-,"$5,421,493",4.48,4.82,Drafted  / Rookie Scale,2021,Charlotte Hornets,,,,,,,,,,,,,,
7,PJ Washington,PF,"$4,215,120","$4,215,120",-,-,-,"$4,215,120",3.48,3.75,Drafted  / Rookie Scale,2021,Charlotte Hornets,,,,,,,,,,,,,,
8,James Bouknight,SG,"$4,154,400","$4,154,400",-,-,-,"$4,154,400",3.43,3.7,Drafted  / Rookie Scale,2021,Charlotte Hornets,,,,,,,,,,,,,,
9,Kai Jones,PF,"$2,770,560","$2,770,560",-,-,-,"$2,770,560",2.29,2.46,Drafted  / Rookie Scale,2021,Charlotte Hornets,,,,,,,,,,,,,,
10,Cody Martin,SF,"$1,782,621","$1,782,621",-,-,-,"$1,782,621",1.47,1.59,Drafted  / NT-MLE,2021,Charlotte Hornets,,,,,,,,,,,,,,
11,Jalen McDaniels,PF,"$1,782,621","$1,782,621",-,-,-,"$1,782,621",1.47,1.59,/ NT-MLE,2021,Charlotte Hornets,,,,,,,,,,,,,,
12,Nick Richards,C,"$1,517,981","$1,517,981",-,-,-,"$1,517,981",1.25,1.35,Drafted  / Space,2021,Charlotte Hornets,,,,,,,,,,,,,,
13,JT Thor,PF,"$1,250,000","$1,250,000",-,-,-,"$1,250,000",1.03,1.11,Drafted  / Space,2021,Charlotte Hornets,,,,,,,,,,,,,,
14,Isaiah Thomas,PG,"$191,860","$276,039",-,-,-,"$191,860",0.16,0.17,RoS  / Minimum,2021,Charlotte Hornets,,,,,,,,,,,,,,
0,Arnoldas Kulboka,SF,,,,,,,,,,2021,Charlotte Hornets,,,,,,,,,,,,,,
1,Scottie Lewis,SG,,,,,,,,,,2021,Charlotte Hornets,,,,,,,,,,,,,,
0,Nicolas Batum,SG,"$8,856,969","$8,856,969",-,-,-,,,,Waived,2021,Charlotte Hornets,7.32,,,,,,,,,,,,,
1,Wesley Iwundu,SF,"$1,824,003","$1,824,003",-,-,-,,,,Waived,2021,Charlotte Hornets,1.51,,,,,,,,,,,,,
2,Isaiah Thomas,PG,"$95,930","$138,019",-,-,-,,,,10-day,2021,Charlotte Hornets,0.08,,,,,,,,,,,,,
3,Isaiah Thomas,PG,"$95,930","$138,019",-,-,-,,,,10-day,2021,Charlotte Hornets,0.08,,,,,,,,,,,,,
0,Carlos Boozer,PF,"$13,500,000","$10,865,854",-,-,-,"$13,500,000",19.07,23.26,/ Bird G'teed: $0,2011,Chicago Bulls,,,,,,,,,,,,,,
1,Luol Deng,SF,"$12,325,000","$9,920,122",-,-,-,"$12,325,000",17.41,21.23,/ Bird,2011,Chicago Bulls,,,,,,,,,,,,,,
2,Joakim Noah,C,"$12,000,000","$9,658,537",-,-,-,"$12,000,000",16.95,20.67,Rk Extension  / Bird,2011,Chicago Bulls,,,,,,,,,,,,,,
3,Derrick Rose,PG,"$5,629,082","$5,629,082",-,-,-,"$5,629,082",7.95,9.7,Drafted  / Rookie Scale G'teed: $0,2011,Chicago Bulls,,,,,,,,,,,,,,
4,Kyle Korver,SG,"$5,000,000","$4,024,390",-,-,-,"$5,000,000",7.06,8.61,/ Space,2011,Chicago Bulls,,,,,,,,,,,,,,
5,Ronnie Brewer,SF,"$4,710,000","$3,790,976",-,-,-,"$4,710,000",6.65,8.11,/ G'teed: $0,2011,Chicago Bulls,,,,,,,,,,,,,,
6,Richard Hamilton,SG,"$4,024,390","$4,024,390",-,-,-,"$4,024,390",5.69,6.93,/ G'teed: $0,2011,Chicago Bulls,,,,,,,,,,,,,,
7,C.J. Watson,PG,"$3,400,000","$2,736,585",-,-,-,"$3,400,000",4.8,5.86,/,2011,Chicago Bulls,,,,,,,,,,,,,,
8,Omer Asik,C,"$1,857,500","$1,495,061",-,-,-,"$1,857,500",2.62,3.2,Drafted  /,2011,Chicago Bulls,,,,,,,,,,,,,,
9,Brian Scalabrine,PF,"$1,352,181","$1,088,341",-,-,-,"$1,352,181",1.91,2.33,/ Minimum G'teed: $0,2011,Chicago Bulls,,,,,,,,,,,,,,
10,Mike James,PG,"$1,229,255","$1,229,255",-,-,-,"$1,229,255",1.74,2.12,/ G'teed: $0,2011,Chicago Bulls,,,,,,,,,,,,,,
11,Jimmy Butler,SG,"$1,020,960","$821,748",-,-,-,"$1,020,960",1.44,1.76,Drafted  / Rookie Scale,2011,Chicago Bulls,,,,,,,,,,,,,,
12,Taj Gibson,PF,"$962,377","$962,377",-,-,-,"$962,377",1.36,1.66,Drafted  / Rookie Scale,2011,Chicago Bulls,,,,,,,,,,,,,,
13,John Lucas III,PG,"$915,852","$737,149",-,-,-,"$915,852",1.29,1.58,/ Space G'teed: $0,2011,Chicago Bulls,,,,,,,,,,,,,,
14,Mike James,PG,"$574,517","$574,517",-,-,-,"$574,517",0.81,0.99,/ G'teed: $0,2011,Chicago Bulls,,,,,,,,,,,,,,
15,Mike James,PG,"$204,875","$204,875",-,-,-,"$204,875",0.29,0.35,/ G'teed: $0,2011,Chicago Bulls,,,,,,,,,,,,,,
16,Mike James,PG,"$167,625","$167,625",-,-,-,"$167,625",0.24,0.29,/ G'teed: $0,2011,Chicago Bulls,,,,,,,,,,,,,,
0,Keith Bogans,SF,"$1,728,000","$1,728,000",-,-,-,,,,,2011,Chicago Bulls,2.44,,,,,,,,,,,,,
1,Mike James,PG,"$186,250","$186,250",-,-,-,,,,,2011,Chicago Bulls,0.26,,,,,,,,,,,,,
0,Derrick Rose,PG,"$16,402,500","$16,402,500",-,-,-,"$16,402,500",22.09,28.26,Rk Extension  / Bird G'teed: $0,2012,Chicago Bulls,,,,,,,,,,,,,,
1,Carlos Boozer,PF,"$15,000,000","$15,000,000",-,-,-,"$15,000,000",20.2,25.84,/ Bird G'teed: $0,2012,Chicago Bulls,,,,,,,,,,,,,,
2,Luol Deng,SF,"$13,305,000","$13,305,000",-,-,-,"$13,305,000",17.92,22.92,/ Bird,2012,Chicago Bulls,,,,,,,,,,,,,,
3,Joakim Noah,C,"$11,300,000","$11,300,000",-,-,-,"$11,300,000",15.22,19.47,Rk Extension  / Bird,2012,Chicago Bulls,,,,,,,,,,,,,,
4,Richard Hamilton,SG,"$5,000,000","$5,000,000",-,-,-,"$5,000,000",6.73,8.61,/ G'teed: $0,2012,Chicago Bulls,,,,,,,,,,,,,,
5,Kirk Hinrich,SG,"$3,941,000","$3,941,000",-,-,-,"$3,941,000",5.31,6.79,/ NT-MLE G'teed: $0,2012,Chicago Bulls,,,,,,,,,,,,,,
6,Taj Gibson,PF,"$2,155,811","$2,155,811",-,-,-,"$2,155,811",2.9,3.71,Drafted  / Rookie Scale,2012,Chicago Bulls,,,,,,,,,,,,,,
7,Marco Belinelli,SG,"$1,957,000","$1,957,000",-,-,-,"$1,957,000",2.64,3.37,/,2012,Chicago Bulls,,,,,,,,,,,,,,
8,Jimmy Butler,SG,"$1,066,920","$1,066,920",-,-,-,"$1,066,920",1.44,1.84,Drafted  / Rookie Scale,2012,Chicago Bulls,,,,,,,,,,,,,,
9,Marquis Teague,PG,"$857,000","$857,000",-,-,-,"$857,000",1.15,1.48,Drafted  / Rookie Scale G'teed: $0,2012,Chicago Bulls,,,,,,,,,,,,,,
10,Nazr Mohammed,C,"$854,389","$1,352,181",-,-,-,"$854,389",1.15,1.47,/ G'teed: $0,2012,Chicago Bulls,,,,,,,,,,,,,,
11,Vladimir Radmanovic,SF,"$854,389","$1,352,181",-,-,-,"$854,389",1.15,1.47,/ G'teed: $0,2012,Chicago Bulls,,,,,,,,,,,,,,
12,Nate Robinson,PG,"$854,389","$1,146,337",-,-,-,"$854,389",1.15,1.47,/ Minimum G'teed: $0,2012,Chicago Bulls,,,,,,,,,,,,,,
13,Daequan Cook,SG,"$512,633","$595,608",-,-,-,"$512,633",0.69,0.88,/ Minimum G'teed: $0,2012,Chicago Bulls,,,,,,,,,,,,,,
14,Malcolm Thomas,PF,"$44,835","$44,835",-,-,-,"$44,835",0.06,0.08,/ Minimum G'teed: $0,2012,Chicago Bulls,,,,,,,,,,,,,,
0,Derrick Rose,PG,"$17,632,688","$17,632,688",-,-,-,"$17,632,688",24.81,30.05,Rk Extension  / Bird G'teed: $0  SEI-Knee-acl,2013,Chicago Bulls,,,,,,,,,,,,,,
1,Carlos Boozer,PF,"$15,300,000","$15,300,000",-,-,-,"$15,300,000",21.53,26.07,/ Bird G'teed: $0,2013,Chicago Bulls,,,,,,,,,,,,,,
2,Joakim Noah,C,"$11,100,000","$11,100,000",-,-,-,"$11,100,000",15.62,18.92,Rk Extension  / Bird  DPOY,2013,Chicago Bulls,,,,,,,,,,,,,,
3,Taj Gibson,PF,"$7,550,000","$7,550,000",-,-,-,"$7,550,000",10.62,12.87,Rk Extension  / Bird,2013,Chicago Bulls,,,,,,,,,,,,,,
4,Kirk Hinrich,SG,"$4,059,000","$4,059,000",-,-,-,"$4,059,000",5.71,6.92,/ NT-MLE G'teed: $0,2013,Chicago Bulls,,,,,,,,,,,,,,
5,Mike Dunleavy,SF,"$3,183,000","$3,183,000",-,-,-,"$3,183,000",4.48,5.42,/ T-MLE,2013,Chicago Bulls,,,,,,,,,,,,,,
6,Tony Snell,SG,"$1,409,040","$1,409,040",-,-,-,"$1,409,040",1.98,2.4,Drafted  / Rookie Scale G'teed: $0,2013,Chicago Bulls,,,,,,,,,,,,,,
7,Jimmy Butler,SG,"$1,112,880","$1,112,880",-,-,-,"$1,112,880",1.57,1.9,Drafted  / Rookie Scale,2013,Chicago Bulls,,,,,,,,,,,,,,
8,Nazr Mohammed,C,"$884,293","$1,399,507",-,-,-,"$884,293",1.24,1.51,/ Minimum G'teed: $0,2013,Chicago Bulls,,,,,,,,,,,,,,
9,D.J. Augustin,PG,"$650,215","$755,459",-,-,-,"$650,215",0.91,1.11,/ Minimum,2013,Chicago Bulls,,,,,,,,,,,,,,
10,Jimmer Fredette,PG,"$239,279","$239,279",-,-,-,"$239,279",0.34,0.41,/ Minimum G'teed: $0,2013,Chicago Bulls,,,,,,,,,,,,,,
11,Ronnie Brewer,SF,"$69,792","$69,792",-,-,-,"$69,792",0.1,0.12,/ Minimum G'teed: $0,2013,Chicago Bulls,,,,,,,,,,,,,,
12,Mike James,PG,"$57,627","$57,627",-,-,-,"$57,627",0.08,0.1,/ Minimum G'teed: $0,2013,Chicago Bulls,,,,,,,,,,,,,,
13,Louis Amundson,PF,"$48,854","$48,854",-,-,-,"$48,854",0.07,0.08,/ Minimum G'teed: $0,2013,Chicago Bulls,,,,,,,,,,,,,,
14,Greg Smith,C,"$15,605","$15,605",-,-,-,"$15,605",0.02,0.03,/ Minimum G'teed: $0,2013,Chicago Bulls,,,,,,,,,,,,,,
0,Andrew Bynum,C,"$6,000,000","$6,000,000",-,-,-,,,,Waived,2013,Chicago Bulls,8.44,,,,,,,,,,,,,
1,Tornike Shengelia,SF,"$788,872","$788,872",-,-,-,,,,Waived,2013,Chicago Bulls,1.11,,,,,,,,,,,,,
2,Mike James,PG,"$419,852","$419,852",-,-,-,,,,Waived,2013,Chicago Bulls,0.59,,,,,,,,,,,,,
3,Richard Hamilton,SG,"$333,334","$333,334",-,-,-,,,,Waived,2013,Chicago Bulls,0.47,,,,,,,,,,,,,
4,Cartier Martin,PF,"$60,437","$60,437",-,-,-,,,,10-day,2013,Chicago Bulls,0.09,,,,,,,,,,,,,
5,Cartier Martin,PF,"$60,437","$60,437",-,-,-,,,,10-day,2013,Chicago Bulls,0.09,,,,,,,,,,,,,
6,Mike James,PG,"$52,017","$82,324",-,-,-,,,,10-day,2013,Chicago Bulls,0.07,,,,,,,,,,,,,
7,Jarvis Varnado,PF,"$46,404","$46,404",-,-,-,,,,10-day,2013,Chicago Bulls,0.07,,,,,,,,,,,,,
0,Derrick Rose,PG,"$18,862,876","$18,862,876",-,-,-,"$18,862,876",27.97,29.91,Rk Extension  / Bird G'teed: $0,2014,Chicago Bulls,,,,,,,,,,,,,,
1,Joakim Noah,C,"$12,700,000","$12,200,000","$500,000",-,-,"$12,700,000",18.83,20.14,"Rk Extension  / Bird G'teed: $12,700,000",2014,Chicago Bulls,,,,,,,,,,,,,,
2,Taj Gibson,PF,"$8,000,000","$8,000,000",-,-,-,"$8,000,000",11.86,12.69,Rk Extension  / Bird,2014,Chicago Bulls,,,,,,,,,,,,,,
3,Pau Gasol,PF,"$7,128,000","$7,128,000",-,-,-,"$7,128,000",10.57,11.3,/ Space G'teed: $0,2014,Chicago Bulls,,,,,,,,,,,,,,
4,Nikola Mirotic,PF,"$5,305,000","$5,305,000",-,-,-,"$5,305,000",7.87,8.41,Drafted  / Space G'teed: $0,2014,Chicago Bulls,,,,,,,,,,,,,,
5,Mike Dunleavy,SF,"$3,326,235","$3,326,235",-,-,-,"$3,326,235",4.93,5.27,/ T-MLE,2014,Chicago Bulls,,,,,,,,,,,,,,
6,Kirk Hinrich,SG,"$2,732,000","$2,732,000",-,-,-,"$2,732,000",4.05,4.33,/ Room G'teed: $0,2014,Chicago Bulls,,,,,,,,,,,,,,
7,Doug McDermott,SF,"$2,277,960","$2,277,960",-,-,-,"$2,277,960",3.38,3.61,Drafted  / Rookie Scale,2014,Chicago Bulls,,,,,,,,,,,,,,
8,Jimmy Butler,SG,"$2,008,748","$2,008,748",-,-,-,"$2,008,748",2.98,3.19,Drafted  / Rookie Scale,2014,Chicago Bulls,,,,,,,,,,,,,,
9,Tony Snell,SG,"$1,472,400","$1,472,400",-,-,-,"$1,472,400",2.18,2.33,Drafted  / Rookie Scale G'teed: $0,2014,Chicago Bulls,,,,,,,,,,,,,,
10,E'Twaun Moore,SG,"$948,163","$948,163",-,-,-,"$948,163",1.41,1.5,/ Minimum,2014,Chicago Bulls,,,,,,,,,,,,,,
11,Nazr Mohammed,C,"$915,243","$1,448,490",-,-,-,"$915,243",1.36,1.45,/ Minimum G'teed: $0,2014,Chicago Bulls,,,,,,,,,,,,,,
12,Aaron Brooks,PG,"$915,243","$1,145,685",-,-,-,"$915,243",1.36,1.45,/ Minimum G'teed: $0,2014,Chicago Bulls,,,,,,,,,,,,,,
13,Cameron Bairstow,PF,"$507,336","$507,336",-,-,-,"$507,336",0.75,0.8,Drafted  / Space G'teed: $0,2014,Chicago Bulls,,,,,,,,,,,,,,
0,Carlos Boozer,PF,-,"$13,549,000",,,,,,,,2014,Chicago Bulls,-,,,,,,,-,,,-,-,-,
0,Richard Hamilton,SG,"$333,333","$333,333",-,-,-,,,,Waived,2014,Chicago Bulls,0.49,,,,,,,,,,,,,
0,Derrick Rose,PG,"$20,093,064","$20,093,064",-,-,-,"$20,093,064",19.66,28.7,Rk Extension  / Bird G'teed: $0,2015,Chicago Bulls,,,,,,,,,,,,,,
1,Jimmy Butler,SG,"$16,407,500","$15,257,500",-,-,-,"$16,407,500",16.06,23.44,"/ Bird G'teed: $16,407,500",2015,Chicago Bulls,,,,,,,,,,,,,,
2,Joakim Noah,C,"$13,400,000","$13,400,000",-,-,-,"$13,400,000",13.11,19.14,Rk Extension  / Bird  SEI-Shoulder,2015,Chicago Bulls,,,,,,,,,,,,,,
3,Robin Lopez,C,"$12,650,000","$12,650,000",-,-,-,"$12,650,000",12.38,18.07,Acquired via Trade,2015,Chicago Bulls,,,,,,,,,,,,,,
4,Taj Gibson,PF,"$8,500,000","$8,500,000",-,-,-,"$8,500,000",8.32,12.14,Rk Extension  / Bird,2015,Chicago Bulls,,,,,,,,,,,,,,
5,Pau Gasol,C,"$7,448,760","$7,448,760",-,-,-,"$7,448,760",7.29,10.64,/ Space G'teed: $0,2015,Chicago Bulls,,,,,,,,,,,,,,
6,Nikola Mirotic,PF,"$5,543,725","$5,543,725",-,-,-,"$5,543,725",5.43,7.92,Drafted  / Space G'teed: $0,2015,Chicago Bulls,,,,,,,,,,,,,,
7,Mike Dunleavy,SF,"$4,500,000","$4,500,000",-,-,-,"$4,500,000",4.4,6.43,/ Early Bird,2015,Chicago Bulls,,,,,,,,,,,,,,
8,Doug McDermott,SF,"$2,380,440","$2,380,440",-,-,-,"$2,380,440",2.33,3.4,Drafted  / Rookie Scale,2015,Chicago Bulls,,,,,,,,,,,,,,
9,Aaron Brooks,PG,"$2,250,000","$2,250,000",-,-,-,"$2,250,000",2.2,3.21,/ T-MLE G'teed: $0  Can Veto Trade,2015,Chicago Bulls,,,,,,,,,,,,,,
10,Jerian Grant,PG,"$1,572,360","$1,572,360",-,-,-,"$1,572,360",1.54,2.25,Acquired via Trade,2015,Chicago Bulls,,,,,,,,,,,,,,
11,Tony Snell,SG,"$1,535,880","$1,535,880",-,-,-,"$1,535,880",1.5,2.19,Drafted  / Rookie Scale G'teed: $0,2015,Chicago Bulls,,,,,,,,,,,,,,
12,Bobby Portis,PF,"$1,391,160","$1,391,160",-,-,-,"$1,391,160",1.36,1.99,Drafted  / Rookie Scale,2015,Chicago Bulls,,,,,,,,,,,,,,
13,E'Twaun Moore,SG,"$1,015,421","$1,015,421",-,-,-,"$1,015,421",0.99,1.45,/ Minimum,2015,Chicago Bulls,,,,,,,,,,,,,,
14,Justin Holiday,SG,"$947,276","$947,276",-,-,-,"$947,276",0.93,1.35,Acquired via Trade  G'teed: $0,2015,Chicago Bulls,,,,,,,,,,,,,,
15,Cameron Bairstow,PF,"$845,059","$845,059",-,-,-,"$845,059",0.83,1.21,Drafted  / Space G'teed: $0,2015,Chicago Bulls,,,,,,,,,,,,,,
16,Spencer Dinwiddie,PG,"$845,059","$845,059",-,-,-,"$845,059",0.83,1.21,Acquired via Trade,2015,Chicago Bulls,,,,,,,,,,,,,,
17,Cristiano Felicio,PF,"$525,093","$525,093",-,-,-,"$525,093",0.51,0.75,/ Minimum G'teed: $0,2015,Chicago Bulls,,,,,,,,,,,,,,
0,Richard Hamilton,SG,"$333,333","$333,333",-,-,-,,,,Waived,2015,Chicago Bulls,0.33,,,,,,,,,,,,,
0,Dwyane Wade,SG,"$23,200,000","$23,200,000",-,-,-,"$23,200,000",24.9,24.64,/ Space,2016,Chicago Bulls,,,,,,,,,,,,,,
1,Jimmy Butler,SG,"$18,156,361","$16,402,209",-,-,-,"$18,156,361",19.49,19.29,"/ Bird G'teed: $18,156,361",2016,Chicago Bulls,,,,,,,,,,,,,,
2,Rajon Rondo,PG,"$14,000,000","$14,000,000",-,-,-,"$14,000,000",15.03,14.87,/ Space,2016,Chicago Bulls,,,,,,,,,,,,,,
3,Robin Lopez,C,"$13,219,250","$13,219,250",-,-,-,"$13,219,250",14.19,14.04,Acquired via Trade,2016,Chicago Bulls,,,,,,,,,,,,,,
4,Nikola Mirotic,PF,"$5,782,450","$5,782,450",-,-,-,"$5,782,450",6.21,6.14,Drafted  / Space G'teed: $0,2016,Chicago Bulls,,,,,,,,,,,,,,
